decision_id,university_name,official_homepage_url,recruitment_page_url,decision,review_notes,reviewed_by,reviewed_at_utc
R3JhbiBTYXNzbyBTY2llbmNlIEluc3RpdHV0ZXx8aHR0cHM6Ly93d3cuZ3NzaS5pdC98fA,Gran Sasso Science Institute,https://www.gssi.it/,,accepted,,,2026-05-17T15:06:43.879Z
SVVTUyBQYXZpYXx8aHR0cHM6Ly93d3cuaXVzc3BhdmlhLml0L3x8,IUSS Pavia,https://www.iusspavia.it/,,accepted,,,2026-05-17T15:06:43.879Z
TGliZXJhIFVuaXZlcnNpdMOgIGRpIEJvbHphbm98fGh0dHBzOi8vd3d3LnVuaWJ6Lml0L3x8aHR0cHM6Ly93d3cudW5pYnouaXQvaXQvaG9tZS9wb3NpdGlvbi1jYWxscy8,Libera Università di Bolzano,https://www.unibz.it/,https://www.unibz.it/it/home/position-calls/,accepted,,,2026-05-17T15:06:43.879Z
TGliZXJhIFVuaXZlcnNpdMOgIGRpIExpbmd1ZSBlIENvbXVuaWNhemlvbmUgSVVMTXx8aHR0cHM6Ly93d3cuaXVsbS5pdC98fA,Libera Università di Lingue e Comunicazione IULM,https://www.iulm.it/,,accepted,,,2026-05-17T15:06:43.879Z
TFVJU1MgR3VpZG8gQ2FybGl8fGh0dHBzOi8vd3d3Lmx1aXNzLml0L3x8,LUISS Guido Carli,https://www.luiss.it/,,accepted,,,2026-05-17T15:06:43.879Z
TFVNU0F8fGh0dHBzOi8vd3d3Lmx1bXNhLml0L3x8,LUMSA,https://www.lumsa.it/,,accepted,,,2026-05-17T15:06:43.879Z
UG9saXRlY25pY28gZGkgTWlsYW5vfHxodHRwczovL3d3dy5wb2xpbWkuaXQvfHxodHRwczovL3d3dy5wb2xpbWkuaXQvZG9jZW50aS1lLXJpY2VyY2F0b3JpL2JhbmRpLWUtY29uY29yc2k,Politecnico di Milano,https://www.polimi.it/,https://www.polimi.it/docenti-e-ricercatori/bandi-e-concorsi,accepted,,,2026-05-17T15:06:43.879Z
UG9saXRlY25pY28gZGkgVG9yaW5vfHxodHRwczovL3d3dy5wb2xpdG8uaXQvfHxodHRwczovL3d3dy5wb2xpdG8uaXQvYXRlbmVvL2xhdm9yYS1jb24tbm9p,Politecnico di Torino,https://www.polito.it/,https://www.polito.it/ateneo/lavora-con-noi,accepted,,,2026-05-17T15:06:43.879Z
U2FwaWVuemEgVW5pdmVyc2l0w6AgZGkgUm9tYXx8aHR0cHM6Ly93d3cudW5pcm9tYTEuaXQvfHxodHRwczovL3d3dy51bmlyb21hMS5pdC9pdC9wYWdpbmEvY29uY29yc2k,Sapienza Università di Roma,https://www.uniroma1.it/,https://www.uniroma1.it/it/pagina/concorsi,accepted,,,2026-05-17T15:06:43.879Z
U2N1b2xhIElNVCBBbHRpIFN0dWRpIEx1Y2NhfHxodHRwczovL3d3dy5pbXRsdWNjYS5pdC98fA,Scuola IMT Alti Studi Lucca,https://www.imtlucca.it/,,accepted,,,2026-05-17T15:06:43.879Z
